source,pitch_std,mean_wpm
[앵커의 마침표]선을 넘은 자유 ⧸ 채널A ⧸ 뉴스A [5rtPrNQCvj0].wav,58.257,106.2020560442049
[프라임TV] 아하! 브리핑 1회- 김아영 아나운서 진행 [TUSbyJ6dWNI].wav,62.775,107.16047643936577
[프라임TV] 아하! 브리핑 - 김민정 아나운서 [dmHXi2X64V4].wav,65.799,112.06559033874684
[프라임 TV] 아하! 브리핑 - 조중민 아나운서 [8yvV0yRLyks].wav,80.386,113.38860189383928
[프라임 TV] 박보미 아나운서 -아하 브리핑 [aHR2Vf0tHWE].wav,56.828,118.09497099062216
[프라임TV] 아하! 브리핑-박민선 아나운서 [JvfnwNX8RGU].wav,65.936,123.85156314559924
[프라임TV] 아하! 브리핑- 전보연 아나운서 [3icWiASW5zI].wav,71.52,101.58545572449606
[프라임TV] 아하! 브리핑 최은나 아나운서 [w-ffuQGqtN0].wav,70.078,107.14036018388428
[프라임TV] 아하! 브리핑 5회 - 이유진 아나운서 [I5iC8ng1k6I].wav,68.091,103.04127293037324
[프라임TV] 아하! 브리핑 4회 - 이미화 아나운서 [ywCA_MWBIeM].wav,63.208,104.24119629788784
[프라임TV] 아하! 브리핑 3회 - 정슬기 아나운서 [fKPDfDqZU4I].wav,66.383,112.98042407011349
[프라임TV] 아하! 브리핑 2회 - 박동규 아나운서 진행 [xeLLMdZghVI].wav,55.222,108.22899925248882
[프라임TV]아하! 브리핑-유수연 아나운서 [vDpTGv6vOjE].wav,76.935,116.3051300747261
[프라임TV]아하! 브리핑-김수정 아나운서 [ZewpMll16oI].wav,74.674,123.48707988687786
[프라임TV]아하! 브리핑-강명희 아나운서 [x41G7Zd4HKA].wav,68.237,119.56769555284102
